,ChannelGeneName_i,ChannelGeneName_j,ChannelIndex_i,ChannelIndex_j,ChannelName_i,ChannelName_j,ChannelPairs,PC_bin,Pearson Correlation,Resolution (micrometers)
0,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.39256766178161145,0.11
1,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.3658289565843252,0.22
2,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.2913410815394524,0.44
3,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.20818174744382567,0.88
4,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.07600710811592179,1.76
5,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.2905851519581563,3.52
6,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.9070631362588528,7.04
7,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.9999209893193308,14.08
8,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.0,28.16
9,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.0,56.32
0,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3019657124910112,0.11
1,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3316220129273456,0.22
2,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3466230784489415,0.44
3,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3631255721025785,0.88
4,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3377408639162264,1.76
5,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.0496524352852719,3.52
6,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.8321530606215216,7.04
