,ChannelGeneName_i,ChannelGeneName_j,ChannelIndex_i,ChannelIndex_j,ChannelName_i,ChannelName_j,ChannelPairs,PC_bin,Pearson Correlation,Resolution (micrometers)
0,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.36186627285604067,0.11
1,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.32564459978048615,0.22
2,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.25214168565541256,0.44
3,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.1850434625313062,0.88
4,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.0835548429199661,1.76
5,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.2768687474403613,3.52
6,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.2633779039189367,7.04
7,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,1.0,14.08
8,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.0,28.16
0,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.25706786873250825,0.11
1,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.2660898426554906,0.22
2,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.2670137623509661,0.44
3,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.275131867840673,0.88
4,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.2589028900436223,1.76
5,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.1199129531106099,3.52
6,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.04489835206361181,7.04
7,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,1.0,14.08
8,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.0,28.16
0,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.5269949368402997,0.11
1,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.39969670384579903,0.22
2,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.20884766132284727,0.44
3,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.008458174858850403,0.88
4,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.17697963670087408,1.76
5,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.28901669849938,3.52
6,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.12994593047866482,7.04
7,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,1.0,14.08
