,ChannelGeneName_i,ChannelGeneName_j,ChannelIndex_i,ChannelIndex_j,ChannelName_i,ChannelName_j,ChannelPairs,PC_bin,Pearson Correlation,Resolution (micrometers)
0,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.4378693374787527,0.11
1,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.38316626507982304,0.22
2,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.2794683161892625,0.44
3,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.1574834539354756,0.88
4,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,-0.04234438174160424,1.76
5,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.3056081451155671,3.52
6,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.7422339190851441,7.04
7,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.9970782537329446,14.08
8,MYH10,CELL+NUCLEUS,20.0,25.0,Actomyosin bundles,CELL+NUCLEUS,"(20, 25)",0.0,0.0,28.16
0,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3220014950793087,0.11
1,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3323416580650668,0.22
2,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.32875007169276127,0.44
3,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.3212033067395407,0.88
4,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.2946781710781078,1.76
5,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,-0.04072179294682423,3.52
6,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.5590645704602557,7.04
7,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.9666338001047607,14.08
8,SON,MYH10,17.0,20.0,Nuclear Speckles,Actomyosin bundles,"(17, 20)",0.0,0.0,28.16
0,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.5159738887574421,0.11
1,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.3925259501501084,0.22
2,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,-0.20381880184675563,0.44
3,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.014047745562902886,0.88
4,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.21594629016668904,1.76
5,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.358501893332407,3.52
6,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.5220273487830269,7.04
7,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.998561137084664,14.08
8,LAMP1,CELL+NUCLEUS,7.0,25.0,Lysosome,CELL+NUCLEUS,"(7, 25)",0.0,0.0,28.16
0,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.2412641464910454,0.11
1,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.3109717330809732,0.22
2,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.40854152933906696,0.44
3,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.5498577988043878,0.88
4,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.7145975952356223,1.76
5,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.8045851453614505,3.52
6,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.9052899970279366,7.04
7,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.992838377672278,14.08
8,SEC61B,RAB5A,18.0,19.0,Endoplasmic Reticulum,Endosomes,"(18, 19)",0.0,0.0,28.16
0,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.32567908092386494,0.11
1,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.33349385486259686,0.22
2,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.33351511518593324,0.44
3,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.3297785091280795,0.88
4,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.31496875847497385,1.76
5,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,-0.26179461650708324,3.52
6,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,0.12514706068813974,7.04
7,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,0.8668952288533674,14.08
8,NPM1,CTNNB1,11.0,22.0,Nucleolus (Granular Component),Adherens junctions,"(11, 22)",0.0,0.0,28.16
0,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.0792989153855362,0.11
1,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.10112116081429397,0.22
2,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.12394276507348401,0.44
3,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.14488975115367297,0.88
4,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.15299860397614035,1.76
5,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.10481197856061879,3.52
6,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,-0.15203524678968713,7.04
7,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,0.9920753791802087,14.08
8,CENT2,SON,0.0,17.0,Centrioles,Nuclear Speckles,"(0, 17)",0.0,0.0,28.16
0,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.5102228891460122,0.11
1,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.5004071038460871,0.22
2,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.4635341678512634,0.44
3,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.4006065810857632,0.88
4,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.29168461154295755,1.76
5,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,-0.07207802054203749,3.52
6,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,0.314667900134076,7.04
7,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,0.9244522938920728,14.08
8,TOMM20,SON,12.0,17.0,Mitochondria,Nuclear Speckles,"(12, 17)",0.0,0.0,28.16
0,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.010191329663462902,0.11
1,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.024070159592747803,0.22
2,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.05901955831139735,0.44
3,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.1341783232789659,0.88
4,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.2221146036973113,1.76
5,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.4144635936358387,3.52
6,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.7324504877084916,7.04
7,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.987931629188392,14.08
8,PMP34,MYH10,13.0,20.0,Peroxisomes,Actomyosin bundles,"(13, 20)",0.0,0.0,28.16
